word:the start_time:0:9 end_time:0:11
word:fundamental start_time:0:11 end_time:0:12
word:root start_time:0:12 end_time:0:12
word:of start_time:0:12 end_time:0:12
word:an start_time:0:12 end_time:0:12
word:old start_time:0:12 end_time:0:12
word:building start_time:0:12 end_time:0:13
word:block start_time:0:13 end_time:0:13
word:for start_time:0:13 end_time:0:13
word:linear start_time:0:13 end_time:0:14
word:algebra start_time:0:14 end_time:0:14
word:is start_time:0:14 end_time:0:14
word:the start_time:0:14 end_time:0:14
word:vector start_time:0:14 end_time:0:15
word:so start_time:0:15 end_time:0:15
word:it's start_time:0:15 end_time:0:16
word:worth start_time:0:16 end_time:0:16
word:making start_time:0:16 end_time:0:16
word:sure start_time:0:16 end_time:0:16
word:we're start_time:0:16 end_time:0:17
word:all start_time:0:17 end_time:0:17
word:on start_time:0:17 end_time:0:17
word:the start_time:0:17 end_time:0:17
word:same start_time:0:17 end_time:0:17
word:page start_time:0:17 end_time:0:17
word:about start_time:0:17 end_time:0:18
word:what start_time:0:18 end_time:0:18
word:exactly start_time:0:18 end_time:0:18
word:a start_time:0:18 end_time:0:19
word:vector start_time:0:19 end_time:0:19
word:is start_time:0:19 end_time:0:19
word:UC start_time:0:19 end_time:0:20
word:probably start_time:0:20 end_time:0:21
word:speaking start_time:0:21 end_time:0:21
word:there start_time:0:21 end_time:0:22
word:are start_time:0:22 end_time:0:22
word:three start_time:0:22 end_time:0:22
word:distinct start_time:0:22 end_time:0:22
word:but start_time:0:22 end_time:0:23
word:related start_time:0:23 end_time:0:23
word:ideas start_time:0:23 end_time:0:24
word:about start_time:0:24 end_time:0:24
word:vectors start_time:0:24 end_time:0:24
word:which start_time:0:24 end_time:0:25
word:I'll start_time:0:25 end_time:0:25
word:call start_time:0:25 end_time:0:25
word:the start_time:0:25 end_time:0:25
word:physics start_time:0:25 end_time:0:25
word:student start_time:0:25 end_time:0:25
word:perspective start_time:0:25 end_time:0:26
word:the start_time:0:26 end_time:0:27
word:computer start_time:0:27 end_time:0:27
word:science start_time:0:27 end_time:0:27
word:student start_time:0:27 end_time:0:28
word:perspective start_time:0:28 end_time:0:28
word:and start_time:0:28 end_time:0:29
word:the start_time:0:29 end_time:0:29
