word:highest start_time:0:1 end_time:0:5
word:mr. start_time:0:5 end_time:0:5
word:Anderson start_time:0:5 end_time:0:6
word:in start_time:0:6 end_time:0:6
word:this start_time:0:6 end_time:0:6
word:podcast start_time:0:6 end_time:0:6
word:I'm start_time:0:6 end_time:0:7
word:going start_time:0:7 end_time:0:7
word:to start_time:0:7 end_time:0:7
word:talk start_time:0:7 end_time:0:7
word:about start_time:0:7 end_time:0:7
word:mutations start_time:0:7 end_time:0:9
word:mutations start_time:0:9 end_time:0:10
word:are start_time:0:10 end_time:0:10
word:simply start_time:0:10 end_time:0:10
word:changes start_time:0:10 end_time:0:11
word:in start_time:0:11 end_time:0:11
word:DNA start_time:0:11 end_time:0:11
word:and start_time:0:11 end_time:0:12
word:why start_time:0:12 end_time:0:13
word:is start_time:0:13 end_time:0:13
word:changes start_time:0:13 end_time:0:13
word:in start_time:0:13 end_time:0:13
word:DNA start_time:0:13 end_time:0:14
word:bad start_time:0:14 end_time:0:14
word:while start_time:0:14 end_time:0:14
word:DNA start_time:0:14 end_time:0:15
word:remember start_time:0:15 end_time:0:15
word:is start_time:0:15 end_time:0:16
word:going start_time:0:16 end_time:0:16
word:to start_time:0:16 end_time:0:16
word:be start_time:0:16 end_time:0:16
word:transcribed start_time:0:16 end_time:0:17
word:to start_time:0:17 end_time:0:17
word:make start_time:0:17 end_time:0:18
word:something start_time:0:18 end_time:0:18
word:called start_time:0:18 end_time:0:19
word:this start_time:0:19 end_time:0:19
word:messenger start_time:0:19 end_time:0:20
word:RNA start_time:0:20 end_time:0:20
word:and start_time:0:20 end_time:0:21
word:that's start_time:0:21 end_time:0:21
word:going start_time:0:21 end_time:0:21
word:to start_time:0:21 end_time:0:21
word:be start_time:0:21 end_time:0:21
word:translated start_time:0:21 end_time:0:22
word:to start_time:0:22 end_time:0:22
word:make start_time:0:22 end_time:0:22
word:something start_time:0:22 end_time:0:22
word:called start_time:0:22 end_time:0:23
word:a start_time:0:23 end_time:0:23
word:protein start_time:0:23 end_time:0:23
word:and start_time:0:23 end_time:0:24
word:that start_time:0:24 end_time:0:24
word:protein start_time:0:24 end_time:0:24
word:is start_time:0:24 end_time:0:24
word:going start_time:0:24 end_time:0:24
word:to start_time:0:24 end_time:0:24
word:make start_time:0:24 end_time:0:25
word:you start_time:0:25 end_time:0:25
word:and start_time:0:25 end_time:0:26
word:took start_time:0:26 end_time:0:26
word:you start_time:0:26 end_time:0:26
word:have start_time:0:26 end_time:0:26
word:changes start_time:0:26 end_time:0:27
word:in start_time:0:27 end_time:0:27
word:the start_time:0:27 end_time:0:27
word:DNA start_time:0:27 end_time:0:27
word:that's start_time:0:27 end_time:0:28
word:going start_time:0:28 end_time:0:28
word:to start_time:0:28 end_time:0:28
word:cause start_time:0:28 end_time:0:28
word:changes start_time:0:28 end_time:0:29
word:in start_time:0:29 end_time:0:29
word:the start_time:0:29 end_time:0:29
word:messenger start_time:0:29 end_time:0:30
word:RNA start_time:0:30 end_time:0:30
word:and start_time:0:30 end_time:0:30
word:it's start_time:0:30 end_time:0:30
word:eventually start_time:0:30 end_time:0:31
word:going start_time:0:31 end_time:0:31
word:to start_time:0:31 end_time:0:31
word:change start_time:0:31 end_time:0:32
word:the start_time:0:32 end_time:0:32
word:proteins start_time:0:32 end_time:0:32
word:and start_time:0:32 end_time:0:32
word:it's start_time:0:32 end_time:0:33
word:eventually start_time:0:33 end_time:0:33
word:going start_time:0:33 end_time:0:33
word:to start_time:0:33 end_time:0:33
word:change start_time:0:33 end_time:0:34
word:you start_time:0:34 end_time:0:34
word:and start_time:0:34 end_time:0:35
word:so start_time:0:35 end_time:0:35
word:mutations start_time:0:35 end_time:0:36
word:we start_time:0:36 end_time:0:36
word:tend start_time:0:36 end_time:0:36
word:to start_time:0:36 end_time:0:36
word:think start_time:0:36 end_time:0:36
word:of start_time:0:36 end_time:0:36
word:it start_time:0:36 end_time:0:37
word:as start_time:0:37 end_time:0:37
word:being start_time:0:37 end_time:0:37
word:bad start_time:0:37 end_time:0:38
word:but start_time:0:38 end_time:0:38
word:mutations start_time:0:38 end_time:0:39
word:are start_time:0:39 end_time:0:39
word:also start_time:0:39 end_time:0:39
